start month,start day,start year,start time,ampm,label
2,9,1954,2,18,PM,Sagittarius
4,12,1954,11,28,AM,Capricorn
7,3,1954,2,23,AM,Sagittarius
8,24,1954,8,22,AM,Capricorn
10,21,1954,7,03,AM,Aquarius
12,4,1954,2,41,AM,Pisces
1,14,1955,11,33,PM,Aries
2,26,1955,5,22,AM,Taurus
4,10,1955,6,09,PM,Gemini
5,25,1955,7,50,PM,Cancer
7,11,1955,4,22,AM,Leo
8,27,1955,5,13,AM,Virgo
10,13,1955,6,20,AM,Libra
11,28,1955,8,33,PM,Scorpio
1,13,1956,9,28,PM,Sagittarius
2,28,1956,3,05,PM,Capricorn
4,14,1956,6,40,PM,Aquarius
6,3,1956,2,51,AM,Pisces
12,6,1956,6,24,AM,Aries
1,28,1957,9,19,AM,Taurus
3,17,1957,4,34,PM,Gemini
5,4,1957,10,22,AM,Cancer
6,21,1957,7,18,AM,Leo
8,8,1957,12,27,AM,Virgo
9,23,1957,11,31,PM,Libra
11,8,1957,4,04,PM,Scorpio
12,22,1957,8,29,PM,Sagittarius
2,3,1958,1,57,PM,Capricorn
3,17,1958,2,11,AM,Aquarius
4,26,1958,9,31,PM,Pisces
6,7,1958,1,21,AM,Aries
7,21,1958,2,03,AM,Taurus
9,21,1958,12,26,AM,Gemini
10,28,1958,7,01,PM,Taurus
2,10,1959,8,57,AM,Gemini
4,10,1959,4,46,AM,Cancer
5,31,1959,9,26,PM,Leo
7,20,1959,6,03,AM,Virgo
9,5,1959,5,46,PM,Libra
10,21,1959,4,40,AM,Scorpio
12,3,1959,1,09,PM,Sagittarius
1,13,1960,11,59,PM,Capricorn
2,22,1960,11,11,PM,Aquarius
4,2,1960,1,24,AM,Pisces
5,11,1960,2,19,AM,Aries
6,20,1960,4,05,AM,Taurus
8,1,1960,11,32,PM,Gemini
9,20,1960,11,06,PM,Cancer
2,4,1961,7,43,PM,Gemini
2,7,1961,12,15,AM,Cancer
5,5,1961,8,13,PM,Leo
6,28,1961,6,47,PM,Virgo
8,16,1961,7,41,PM,Libra
10,1,1961,3,02,PM,Scorpio
11,13,1961,4,50,PM,Sagittarius
12,24,1961,12,50,PM,Capricorn
2,1,1962,6,06,PM,Aquarius
3,12,1962,2,58,AM,Pisces
4,19,1962,11,58,AM,Aries
5,28,1962,6,47,PM,Taurus
7,8,1962,10,50,PM,Gemini
8,22,1962,6,37,AM,Cancer
10,11,1962,6,54,PM,Leo
6,3,1963,1,30,AM,Virgo
7,26,1963,11,14,PM,Libra
9,12,1963,4,11,AM,Scorpio
10,25,1963,12,31,PM,Sagittarius
12,5,1963,4,03,AM,Capricorn
1,13,1964,1,13,AM,Aquarius
2,20,1964,2,33,AM,Pisces
3,29,1964,6,24,AM,Aries
5,7,1964,9,41,AM,Taurus
6,17,1964,6,43,AM,Gemini
7,30,1964,1,23,PM,Cancer
9,15,1964,12,22,AM,Leo
11,5,1964,10,20,PM,Virgo
6,28,1965,8,12,PM,Libra
8,20,1965,7,16,AM,Scorpio
10,4,1965,1,46,AM,Sagittarius
11,14,1965,2,19,AM,Capricorn
12,23,1965,12,36,AM,Aquarius
1,30,1966,2,01,AM,Pisces
3,9,1966,7,55,AM,Aries
4,17,1966,3,35,PM,Taurus
5,28,1966,5,07,PM,Gemini
7,10,1966,10,15,PM,Cancer
8,25,1966,10,52,AM,Leo
10,12,1966,1,37,PM,Virgo
12,3,1966,7,55,PM,Libra
2,12,1967,7,20,AM,Scorpio
3,31,1967,1,10,AM,Libra
7,19,1967,5,56,PM,Scorpio
9,9,1967,8,44,PM,Sagittarius
10,22,1967,9,14,PM,Capricorn
12,1,1967,3,12,PM,Aquarius
1,9,1968,4,49,AM,Pisces
2,16,1968,10,18,PM,Aries
3,27,1968,6,43,PM,Taurus
5,8,1968,9,14,AM,Gemini
6,21,1968,12,03,AM,Cancer
8,5,1968,12,07,PM,Leo
9,21,1968,1,39,PM,Virgo
11,9,1968,1,10,AM,Libra
12,29,1968,5,07,PM,Scorpio
2,25,1969,1,21,AM,Sagittarius
9,21,1969,1,35,AM,Capricorn
