Nov 11, 1945 4:05 PM Mars enters Leo
Dec 26, 1945 10:04 AM Mars Rx enters Cancer
Apr 22, 1946 2:31 PM Mars enters Leo
June 20, 1946 3:31 AM Mars enters Virgo
Aug 9, 1946 8:17 AM Mars enters Libra
Sep 24, 1946 11:35 AM Mars enters Scorpio
Nov 6, 1946 1:22 PM Mars enters Sagittarius
Dec 17, 1946 5:56 AM Mars enters Capricorn
Jan 25, 1947 6:44 AM Mars enters Aquarius
Mar 4, 1947 11:46 AM Mars enters Pisces
Apr 11, 1947 6:03 PM Mars enters Aries
May 20, 1947 10:40 PM Mars enters Taurus
June 30, 1947 10:34 PM Mars enters Gemini
Aug 13, 1947 4:26 PM Mars enters Cancer
Sep 30, 1947 9:31 PM Mars enters Leo
Dec 1, 1947 6:44 AM Mars enters Virgo
Feb 12, 1948 5:28 AM Mars Rx enters Leo
May 18, 1948 3:54 PM Mars enters Virgo
July 17, 1948 12:25 AM Mars enters Libra
Sep 3, 1948 8:58 AM Mars enters Scorpio
Oct 17, 1948 12:43 AM Mars enters Sagittarius
Nov 26, 1948 4:59 PM Mars enters Capricorn
Jan 4, 1949 12:50 PM Mars enters Aquarius
Feb 11, 1949 1:05 PM Mars enters Pisces
Mar 21, 1949 5:02 PM Mars enters Aries
Apr 29, 1949 9:33 PM Mars enters Taurus
June 9, 1949 7:57 PM Mars enters Gemini
July 23, 1949 12:54 AM Mars enters Cancer
Sep 6, 1949 11:51 PM Mars enters Leo
Oct 26, 1949 7:58 PM Mars enters Virgo
Dec 26, 1949 12:23 AM Mars enters Libra
Mar 28, 1950 6:05 AM Mars Rx enters Virgo
June 11, 1950 3:27 PM Mars enters Libra
Aug 10, 1950 11:48 AM Mars enters Scorpio
Sep 25, 1950 2:48 PM Mars enters Sagittarius
Nov 6, 1950 1:40 AM Mars enters Capricorn
Dec 15, 1950 3:59 AM Mars enters Aquarius
Jan 22, 1951 8:05 AM Mars enters Pisces
Mar 1, 1951 5:03 PM Mars enters Aries
Apr 10, 1951 4:37 AM Mars enters Taurus
May 21, 1951 10:32 AM Mars enters Gemini
July 3, 1951 6:42 PM Mars enters Cancer
Aug 18, 1951 5:55 AM Mars enters Leo
Oct 4, 1951 7:20 PM Mars enters Virgo
Nov 24, 1951 1:11 AM Mars enters Libra
Jan 19, 1952 8:33 PM Mars enters Scorpio
Aug 27, 1952 1:53 PM Mars enters Sagittarius
Oct 11, 1952 11:45 PM Mars enters Capricorn
Nov 21, 1952 2:40 PM Mars enters Aquarius
Dec 30, 1952 4:35 PM Mars enters Pisces
Feb 7, 1953 8:07 PM Mars enters Aries
Mar 20, 1953 1:54 AM Mars enters Taurus
May 1, 1953 1:08 AM Mars enters Gemini
June 13, 1953 10:49 PM Mars enters Cancer
July 29, 1953 2:25 PM Mars enters Leo
Sep 14, 1953 12:59 PM Mars enters Virgo
Nov 1, 1953 9:19 AM Mars enters Libra
Dec 20, 1953 6:22 AM Mars enters Scorpio
Feb 9, 1954 2:18 PM Mars enters Sagittarius
Apr 12, 1954 11:28 AM Mars enters Capricorn
July 3, 1954 2:23 AM Mars Rx enters Sagittarius
Aug 24, 1954 8:22 AM Mars enters Capricorn
Oct 21, 1954 7:03 AM Mars enters Aquarius
Dec 4, 1954 2:41 AM Mars enters Pisces
Jan 14, 1955 11:33 PM Mars enters Aries
Feb 26, 1955 5:22 AM Mars enters Taurus
Apr 10, 1955 6:09 PM Mars enters Gemini
May 25, 1955 7:50 PM Mars enters Cancer
July 11, 1955 4:22 AM Mars enters Leo
Aug 27, 1955 5:13 AM Mars enters Virgo
Oct 13, 1955 6:20 AM Mars enters Libra
Nov 28, 1955 8:33 PM Mars enters Scorpio
Jan 13, 1956 9:28 PM Mars enters Sagittarius
Feb 28, 1956 3:05 PM Mars enters Capricorn
Apr 14, 1956 6:40 PM Mars enters Aquarius
June 3, 1956 2:51 AM Mars enters Pisces
Dec 6, 1956 6:24 AM Mars enters Aries
Jan 28, 1957 9:19 AM Mars enters Taurus
Mar 17, 1957 4:34 PM Mars enters Gemini
May 4, 1957 10:22 AM Mars enters Cancer
June 21, 1957 7:18 AM Mars enters Leo
Aug 8, 1957 12:27 AM Mars enters Virgo
Sep 23, 1957 11:31 PM Mars enters Libra
Nov 8, 1957 4:04 PM Mars enters Scorpio
Dec 22, 1957 8:29 PM Mars enters Sagittarius
Feb 3, 1958 1:57 PM Mars enters Capricorn
Mar 17, 1958 2:11 AM Mars enters Aquarius
Apr 26, 1958 9:31 PM Mars enters Pisces
June 7, 1958 1:21 AM Mars enters Aries
July 21, 1958 2:03 AM Mars enters Taurus
Sep 21, 1958 12:26 AM Mars enters Gemini
Oct 28, 1958 7:01 PM Mars Rx enters Taurus
Feb 10, 1959 8:57 AM Mars enters Gemini
Apr 10, 1959 4:46 AM Mars enters Cancer
May 31, 1959 9:26 PM Mars enters Leo
July 20, 1959 6:03 AM Mars enters Virgo
Sep 5, 1959 5:46 PM Mars enters Libra
